sku_id,url,category,price_inr,review_count,rating,buyer_photos_count,fabric_composition_stated,fabric_composition_verbatim,weight_gsm_stated,weight_gsm_verbatim,flat_measurements_stated,measurements_verbatim,fit_descriptor_verbatim,care_instructions_stated,seller_name,description_word_count,marketing_adjectives_verbatim,falsifiable_facts_count,description_style,v1_verdict,what_tool_could_say,what_tool_cannot_say,notes,brand,product_name,source_url,source_type,scrape_date,url_status,url_domain
SKU11,https://www.nykaafashion.com/u-s-polo-assn-men-red-cotton-solid-polo-t-shirt/p/5952525,Polo shirt (men),1120,,,,Y,Cotton,N,,N,,Regular,Y,Arvind Lifestyle Brands Ltd (mfr: Balu Exports),50,"""plays a leading role in the universe of clothing""; ""impeccable tailoring""; ""fine fabric that feels super soft against the skin""",6,mixed,PARTIAL,"Cotton, collar neck, half sleeves, machine-washable, single-pack - confirms material class and cut.",No GSM or flat garment measurements stated - cannot confirm fabric weight or exact size against body.,All sizes sold out at check. No SKU-level rating badge rendered (only a brand-wide 4.1/1L+ aggregate) - likely 0 reviews on this SKU but unconfirmed.,,,,,,original_pdp_url,nykaafashion.com
SKU12,https://www.nykaafashion.com/sojanya-cotton-blend-blue-checked-only-long-kurta/p/2369425,Kurta for men,1599,,,,Y,Blended Fabric,N,,N,,Regular,Y,Shri Ram Enterprises (mfr: Daulat Ram Om Prakash),25,"""Look Your Ethnic Best""; brand tagline ""(Since 1958)"" used as a quality cue",7,mixed,PARTIAL,"Blended fabric, mandarin neck, full sleeves, slant pocket, machine-washable - confirms cut and care routine.","No fibre percentage, GSM, or garment measurements - cannot confirm actual fabric weight or fit.",Tagged BESTSELLER on the category page despite no visible per-SKU rating badge on the product page itself - bestseller labelling appears independent of visible review volume.,,,,,,original_pdp_url,nykaafashion.com
SKU13,https://www.nykaafashion.com/miravan-blue-cotton-embroidered-kurta-with-palazzo/p/26852992,Kurta for women,1680,113,3.1,,Y,Cotton,N,,N,,Straight,Y,Tirupati Alloys,30,"""Your Ethnic Wear Collection Is Incomplete without This Kurta Set""; ""Features An Elegant Hue Which Makes It A Must-Have""",6,marketing_led,PARTIAL,"Cotton, V-neck, three-quarter sleeves, wide-leg palazzo - confirms silhouette and neckline.","No fibre %, GSM, or measurements - cannot confirm fabric weight or actual garment fit.","NOT a tail SKU - 113 ratings is well over the <20 threshold; slipped through because it carried no BESTSELLER tag on the listing page. Recommend swapping. Sold as a 2-piece kurta+palazzo set, not a standalone kurta.",,,,,,original_pdp_url,nykaafashion.com
SKU14,https://www.nykaafashion.com/rajnandini-green-cotton-blend-printed-ready-to-wear-kurta-with-salwar-and-dupatta/p/26184406,Suit set for women,799,22,3.3,0,Y,Cotton Blend,N,,N,,Regular,Y,Rajnandini Fashion India Ltd,40,"""Steal the limelight in this stunning green salwar suit""; ""amp up your look""",7,marketing_led,PARTIAL,"Cotton blend, round neck, tapered-leg salwar bottoms, hand-wash only - confirms cut and a real care constraint.",No GSM or flat measurements - cannot confirm fabric weight or exact size.,Borderline tail: 22 star-ratings (just above the <20 cutoff) but zero written reviews or photos visible - ratings volume without any qualitative signal behind it.,,,,,,original_pdp_url,nykaafashion.com
SKU15,https://www.nykaafashion.com/bene-kleed-men-cream-pure-cotton-rigid-denim-jeans/p/24997127,Bottom wear for men,2999,14,3.9,,Y,Cotton,N,,N,,Loose,Y,Shakti Brandz Pvt Ltd,35,"""unmatched comfort and style""; ""breathable and versatile""; ""effortless charm""",7,marketing_led,PARTIAL,"100% cotton, non-stretch, wide-leg, machine washable - confirms fabric type and fit category.",No denim weight/GSM or flat measurements - cannot tell how heavy/stiff the denim is or exact waist/inseam.,Genuinely tail (14 ratings) - clean example of a real low-review SKU.,,,,,,original_pdp_url,nykaafashion.com
SKU16,https://www.nykaafashion.com/vbeauti-womens-washed-grey-wide-leg-streachable-high-rise-jeans/p/28439251,Bottom wear for women,1155,,,,Y,Denim,N,,N,,Wide,Y,Smvd Enterprises,35,"""flattering fit""; ""Trendy wide-leg silhouette""; ""Premium washed""; ""Soft, durable, and comfortable""",9,marketing_led,PARTIAL,"Stretch denim, high-rise wide-leg, and an unusually detailed 7-step wash/care instruction - confirms fit category and care routine precisely.",No GSM or flat garment measurements - cannot confirm denim weight or exact waist/inseam size.,"No rating badge at all - tagged ""New on Nykaa"", the strongest 0-review signal found in this audit. Care instructions here are the most detailed (7 discrete steps) of any SKU checked.",,,,,,original_pdp_url,nykaafashion.com
SKU17,https://www.nykaafashion.com/buynewtrend-yellow-women-striped-wrap-style-cotton-shirt/p/25737100,Formal shirt for women,705,10,4.4,,Y,Cotton,N,,N,,Regular,Y,Dimpy Garments,45,"""Elegant women cotton shirt""; ""lightweight comfort""; ""summer friendly""; ""modern fit""; ""soft texture""; ""skin friendly material""; ""versatile styling""; ""durable stitching""; ""easy care""; ""everyday fashion essential""; ""premium quality tailored silhouette trendy timeless classic chic appeal""",7,marketing_led,PARTIAL,"Cotton, striped pattern, collar neck, cap sleeves, gentle wash - all from the spec table alone.","No GSM or measurements, and the free-text description adds ZERO new checkable facts beyond the spec table - it's a single unbroken run of ~20 adjectives with no numbers.",Best example in the set of pure marketing substitution: the description is essentially a keyword-stuffed adjective list ending in 'premium quality tailored silhouette trendy timeless classic chic appeal.' Genuinely tail (10 ratings).,,,,,,original_pdp_url,nykaafashion.com
SKU18,https://www.nykaafashion.com/columbia-men-black-na-heavyweight-ii-tight/p/9044405,Activewear for men,4499,,,,Y,Polyester,N,,N,,Regular,Y,Chogori India Retail Ltd,25,"""comfy addition""; ""premium quality fabric""; ""exude a regular fit""",6,marketing_led,PARTIAL,"Polyester, skinny-leg tights, machine washable, built for Sports & Fitness activity - confirms material class and cut.","The product NAME invokes Columbia's 'Omni-Heat Reflective' thermal technology, but nothing in the actual listing explains what that means, what GSM the fabric is, or how warm it performs - the tech claim is completely unsubstantiated in the copy.",Small category (12 items total under men's Athleisure) - mostly winter/thermal gear rather than gym wear. No rating badge shown - likely 0 reviews.,,,,,,original_pdp_url,nykaafashion.com
SKU19,https://www.nykaafashion.com/kica-float-green-jumpsuit-with-pockets/p/3234152,Activewear for women,1258,,,,Y,"Cotton-95%, Spandex-5%",N,,N,,"""Stretchy without being saggy"" (informal, no structured Fit field)",Y,Nykaa Fashion Ltd (house brand Kica),110,"""make your float effortlessly through life""; ""Extra soft feel""; ""butter-soft cotton""",8,mixed,USEFUL,"95% cotton / 5% spandex is an exact, checkable fibre blend (rare on this platform); halter neck, sleeveless, cold hand-wash only, two pockets, back-neck button closure.",No GSM or flat body measurements - still cannot confirm fabric weight or exact fit against the body.,"Best fibre-composition example found - an exact percentage split, unusual for Nykaa listings generally. No returns/exchange allowed on this item. No rating badge - likely 0 reviews.",,,,,,original_pdp_url,nykaafashion.com
SKU20,https://www.nykaafashion.com/harissons-unisex-dexter-maroon-backpack/p/15717995,Bags/accessories for men,1999,7,4.3,,Y,Polyester,,,Y,(H x L x W) 50 x 39 x 6 cm,,Y,Haridas Somchand And Sons (mfr: Harissons Bags Pvt Ltd),230,"""captivating Vintage Collection""; ""delightful 90s VIBE""; ""meticulously built to withstand the test of time""; ""exceptional build quality is a given""; ""endure various forms of abuse""; ""reliable companion for every adventure""",10,mixed,USEFUL,"50x39x6cm, fits laptops up to 14 inches, water resistant, 1-year warranty, external USB port and audio-jack routing - all genuinely checkable claims a buyer could hold the seller to on arrival.","'Meticulously built to withstand the test of time' and 'endure various forms of abuse' are not backed by any durability rating, denier count, or load-test figure in the listing.",Highest falsifiable-fact density of any SKU in this audit (exact dimensions + laptop-size compatibility + warranty length + water resistance) despite having the single most adjective-heavy description text found. Genuinely tail (7 ratings).,,,,,,original_pdp_url,nykaafashion.com
SKU21,https://www.nykaafashion.com/yelloe-blue-heart-shaped-sling-bag/p/19029743,Bags/accessories for women,896,104,4.1,,Y,"Table says ""Cotton""; description says ""Premium synthetic leather"" (contradiction)",,,Y,(L x B x H): 15.2 x 5 x 13.2 cm,,Y,Yelloe Lifestyle Pvt Ltd,65,"""adorable""; ""catch everyone's eye""; ""versatile as can be""; ""functional yet playful""; ""emitting Valentine's Day vibes - a curious charmer""; ""keeps you looking trendy and organized""",6,mixed,USEFUL,"15.2 x 5 x 13.2cm, zip closure, detachable strap, 3-month warranty - real checkable dimensions and a stated warranty term.","The spec table says the material is 'Cotton'; the free-text description says 'Premium synthetic leather.' The listing contradicts itself, so the tool cannot tell a buyer what the bag is actually made of.",NOT a tail SKU - 104 ratings is well over the <20 threshold; recommend swapping. Flagged because it's the clearest material-contradiction case found: structured field and marketing copy disagree outright.,,,,,,original_pdp_url,nykaafashion.com
SKU22,https://www.nykaafashion.com/cantabil-men-sky-polo-t-shirt/p/10915005,polo shirt,615,,,,,,,,,,,,,,,,listing_only,,Brand: Cantabil; product: Men Sky Polo T-shirt; listed price: ?615.,"PDP-level review count, rating, detailed specifications and seller details were not expanded in this listing-level scrape.",Listing-level sample scraped from current Nykaa Fashion category page; direct PDP fields intentionally left blank when not observed. No buyer-photo logic used.,Cantabil,Men Sky Polo T-shirt,https://www.nykaafashion.com/men/topwear/polo-t-shirts/c/6827,nykaa_category_listing,9/4/2026,pdp_url_resolved_from_web,nykaafashion.com
SKU23,https://www.nykaafashion.com/louis-philippe-men-maroon-solid-polo-neck-t-shirt/p/12459727,polo shirt,945,,,,,,,,,,,,,,,,listing_only,,Brand: Louis Philippe; product: Men's Rust Polo T-Shirt with Collar Tipping and Branding on Sleeve; listed price: ?945.,"PDP-level review count, rating, detailed specifications and seller details were not expanded in this listing-level scrape.",Listing-level sample scraped from current Nykaa Fashion category page; direct PDP fields intentionally left blank when not observed. No buyer-photo logic used.,Louis Philippe,Men's Rust Polo T-Shirt with Collar Tipping and Branding on Sleeve,https://www.nykaafashion.com/men/topwear/polo-t-shirts/c/6827,nykaa_category_listing,9/4/2026,pdp_url_resolved_from_web,nykaafashion.com
SKU24,https://www.nykaafashion.com/campus-sutra-mens-onyx-black-cuboid-stripe-polo-t-shirt/p/19083242,polo shirt,731,,,,,,,,,,,,,,,,listing_only,,Brand: CAHOOT; product: Mens Onyx Black Cuboid-Stripe Polo T-Shirt; listed price: ?731.,"PDP-level review count, rating, detailed specifications and seller details were not expanded in this listing-level scrape.",Listing-level sample scraped from current Nykaa Fashion category page; direct PDP fields intentionally left blank when not observed. No buyer-photo logic used.,CAHOOT,Mens Onyx Black Cuboid-Stripe Polo T-Shirt,https://www.nykaafashion.com/men/topwear/polo-t-shirts/c/6827,nykaa_category_listing,9/4/2026,pdp_url_resolved_from_web,nykaafashion.com
SKU25,https://www.nykaafashion.com/u-s-polo-assn-brown-mens-pure-cotton-slim-fit-polo-shirt/p/21390358,polo shirt,1170,,,,Y,Cotton,,,,,Slim,,,,,,listing_only,,Brand: U.S. POLO ASSN.; product: Brown Mens Pure Cotton Slim Fit Polo T-Shirt; listed price: ?1170.,"PDP-level review count, rating, detailed specifications and seller details were not expanded in this listing-level scrape.",Listing-level sample scraped from current Nykaa Fashion category page; direct PDP fields intentionally left blank when not observed. No buyer-photo logic used.,U.S. POLO ASSN.,Brown Mens Pure Cotton Slim Fit Polo T-Shirt,https://www.nykaafashion.com/men/topwear/polo-t-shirts/c/6827,nykaa_category_listing,9/4/2026,pdp_url_resolved_from_web,nykaafashion.com
SKU26,https://www.nykaafashion.com/tommy-hilfiger-red-cotton-half-sleeves-collar-neck-polo-t-shirt/p/24896157,polo shirt,2871,,,,Y,Cotton,,,,,,,,,,,listing_only,,Brand: Tommy Hilfiger; product: Red Cotton Half Sleeves Collar Neck Polo T-Shirt; listed price: ?2871.,"PDP-level review count, rating, detailed specifications and seller details were not expanded in this listing-level scrape.",Listing-level sample scraped from current Nykaa Fashion category page; direct PDP fields intentionally left blank when not observed. No buyer-photo logic used.,Tommy Hilfiger,Red Cotton Half Sleeves Collar Neck Polo T-Shirt,https://www.nykaafashion.com/men/topwear/polo-t-shirts/c/6827,nykaa_category_listing,9/4/2026,pdp_url_resolved_from_web,nykaafashion.com
SKU27,,polo shirt,799,,,,,,,,,,,,,,,,listing_only,,Brand: LEOTUDE; product: Men's Brown Polo T-Shirt; listed price: ?799.,"PDP-level review count, rating, detailed specifications and seller details were not expanded in this listing-level scrape.",Listing-level sample scraped from current Nykaa Fashion category page; direct PDP fields intentionally left blank when not observed. No buyer-photo logic used.,LEOTUDE,Men's Brown Polo T-Shirt,https://www.nykaafashion.com/men/topwear/polo-t-shirts/c/6827,nykaa_category_listing,9/4/2026,pdp_url_not_resolved,
SKU28,,polo shirt,882,,,,,,,,,,,,,,,,listing_only,,Brand: Gildan; product: Multi-Color Softstyle Adult Pique Polo T-shirt (Pack of 3); listed price: ?882.,"PDP-level review count, rating, detailed specifications and seller details were not expanded in this listing-level scrape.",Listing-level sample scraped from current Nykaa Fashion category page; direct PDP fields intentionally left blank when not observed. No buyer-photo logic used.,Gildan,Multi-Color Softstyle Adult Pique Polo T-shirt (Pack of 3),https://www.nykaafashion.com/men/topwear/polo-t-shirts/c/6827,nykaa_category_listing,9/4/2026,pdp_url_not_resolved,
SKU29,https://www.nykaafashion.com/peter-england-men-off-white-plain-slim-fit-polo-t-shirt/p/19996777,polo shirt,1320,,,,,,,,,,,,,,,,listing_only,,Brand: U.S. Polo Assn. Denim Co.; product: Men Colorblock Muscle Fit Polo T-Shirt White; listed price: ?1320.,"PDP-level review count, rating, detailed specifications and seller details were not expanded in this listing-level scrape.",Listing-level sample scraped from current Nykaa Fashion category page; direct PDP fields intentionally left blank when not observed. No buyer-photo logic used.,U.S. Polo Assn. Denim Co.,Men Colorblock Muscle Fit Polo T-Shirt White,https://www.nykaafashion.com/men/topwear/polo-t-shirts/c/6827,nykaa_category_listing,9/4/2026,pdp_url_resolved_from_web,nykaafashion.com
SKU30,https://www.nykaafashion.com/campus-sutra-men-maroon-solid-polo-t-shirt/p/10914982,polo shirt,615,,,,,,,,,,,,,,,,listing_only,,Brand: Cantabil; product: Men Green Polo T-shirt; listed price: ?615.,"PDP-level review count, rating, detailed specifications and seller details were not expanded in this listing-level scrape.",Listing-level sample scraped from current Nykaa Fashion category page; direct PDP fields intentionally left blank when not observed. No buyer-photo logic used.,Cantabil,Men Green Polo T-shirt,https://www.nykaafashion.com/men/topwear/polo-t-shirts/c/6827,nykaa_category_listing,9/4/2026,pdp_url_resolved_from_web,nykaafashion.com
SKU31,https://www.nykaafashion.com/the-indian-garage-co-men-slim-fit-striped-polo-collar-t-shirt/p/20056029,polo shirt,546,,,,,,,,,,Slim,,,,,,listing_only,,Brand: The Indian Garage Co; product: Men Slim Fit Striped Polo Collar T-Shirt; listed price: ?546.,"PDP-level review count, rating, detailed specifications and seller details were not expanded in this listing-level scrape.",Listing-level sample scraped from current Nykaa Fashion category page; direct PDP fields intentionally left blank when not observed. No buyer-photo logic used.,The Indian Garage Co,Men Slim Fit Striped Polo Collar T-Shirt,https://www.nykaafashion.com/men/topwear/polo-t-shirts/c/6827,nykaa_category_listing,9/4/2026,pdp_url_resolved_from_web,nykaafashion.com
SKU32,https://www.nykaafashion.com/ether-women-blue-solid-polo-t-shirt/p/21020274,polo shirt,675,,,,,,,,,,Regular,,,,,,listing_only,,Brand: RIGO; product: Teal Colorblock Regular Fit Polo T-Shirt; listed price: ?675.,"PDP-level review count, rating, detailed specifications and seller details were not expanded in this listing-level scrape.",Listing-level sample scraped from current Nykaa Fashion category page; direct PDP fields intentionally left blank when not observed. No buyer-photo logic used.,RIGO,Teal Colorblock Regular Fit Polo T-Shirt,https://www.nykaafashion.com/men/topwear/polo-t-shirts/c/6827,nykaa_category_listing,9/4/2026,pdp_url_resolved_from_web,nykaafashion.com
SKU33,https://www.nykaafashion.com/rare-rabbit-men-white-embroidered-polo-t-shirt/p/23521278,polo shirt,1549,,,,,,,,,,,,,,,,listing_only,,Brand: The Souled Store; product: Camelia Brown Men Textured Polo T-Shirt; listed price: ?1549.,"PDP-level review count, rating, detailed specifications and seller details were not expanded in this listing-level scrape.",Listing-level sample scraped from current Nykaa Fashion category page; direct PDP fields intentionally left blank when not observed. No buyer-photo logic used.,The Souled Store,Camelia Brown Men Textured Polo T-Shirt,https://www.nykaafashion.com/men/topwear/polo-t-shirts/c/6827,nykaa_category_listing,9/4/2026,pdp_url_resolved_from_web,nykaafashion.com
SKU34,,polo shirt,1656,,,,,,,,,,,,,,,,listing_only,,Brand: WROGN; product: Brown Solid Collar Neck Slim Polo T-Shirt; listed price: ?1656.,"PDP-level review count, rating, detailed specifications and seller details were not expanded in this listing-level scrape.",Listing-level sample scraped from current Nykaa Fashion category page; direct PDP fields intentionally left blank when not observed. No buyer-photo logic used.,WROGN,Brown Solid Collar Neck Slim Polo T-Shirt,https://www.nykaafashion.com/men/topwear/polo-t-shirts/c/6827,nykaa_category_listing,9/4/2026,pdp_url_not_resolved,
SKU35,,polo shirt,352,,,,,,,,,,,,,,,,listing_only,,Brand: max; product: Textured Brown Polo T-Shirt; listed price: ?352.,"PDP-level review count, rating, detailed specifications and seller details were not expanded in this listing-level scrape.",Listing-level sample scraped from current Nykaa Fashion category page; direct PDP fields intentionally left blank when not observed. No buyer-photo logic used.,max,Textured Brown Polo T-Shirt,https://www.nykaafashion.com/men/topwear/polo-t-shirts/c/6827,nykaa_category_listing,9/4/2026,pdp_url_not_resolved,
SKU36,https://www.nykaafashion.com/puma-essentials-logo-mens-black-polo-t-shirt/p/17093577,polo shirt,850,,,,,,,,,,,,,,,,listing_only,,Brand: Puma; product: Mens Logo Black Polo T-Shirt; listed price: ?850.,"PDP-level review count, rating, detailed specifications and seller details were not expanded in this listing-level scrape.",Listing-level sample scraped from current Nykaa Fashion category page; direct PDP fields intentionally left blank when not observed. No buyer-photo logic used.,Puma,Mens Logo Black Polo T-Shirt,https://www.nykaafashion.com/men/topwear/polo-t-shirts/c/6827,nykaa_category_listing,9/4/2026,pdp_url_resolved_from_web,nykaafashion.com
SKU37,,polo shirt,2299,,,,Y,Cotton,,,,,Regular,,,,,,listing_only,,Brand: H&M; product: Men Brown Regular Fit Cotton Rugby Polo T-Shirt; listed price: ?2299.,"PDP-level review count, rating, detailed specifications and seller details were not expanded in this listing-level scrape.",Listing-level sample scraped from current Nykaa Fashion category page; direct PDP fields intentionally left blank when not observed. No buyer-photo logic used.,H&M,Men Brown Regular Fit Cotton Rugby Polo T-Shirt,https://www.nykaafashion.com/men/topwear/polo-t-shirts/c/6827,nykaa_category_listing,9/4/2026,pdp_url_not_resolved,
SKU38,https://www.nykaafashion.com/rare-rabbit-carmelon-light-green-plain-regular-fit-polo-t-shirt/p/19818340,polo shirt,1665,,,,,,,,,,Regular,,,,,,listing_only,,Brand: Rare Rabbit; product: Carmelon Light Green Plain Regular Fit Polo T-Shirt; listed price: ?1665.,"PDP-level review count, rating, detailed specifications and seller details were not expanded in this listing-level scrape.",Listing-level sample scraped from current Nykaa Fashion category page; direct PDP fields intentionally left blank when not observed. No buyer-photo logic used.,Rare Rabbit,Carmelon Light Green Plain Regular Fit Polo T-Shirt,https://www.nykaafashion.com/men/topwear/polo-t-shirts/c/6827,nykaa_category_listing,9/4/2026,pdp_url_resolved_from_web,nykaafashion.com
SKU39,,polo shirt,990,,,,,,,,,,,,,,,,listing_only,,Brand: GRITSTONES; product: Men Pink Embedded Textured Flat Knit Premium Polo T-Shirt; listed price: ?990.,"PDP-level review count, rating, detailed specifications and seller details were not expanded in this listing-level scrape.",Listing-level sample scraped from current Nykaa Fashion category page; direct PDP fields intentionally left blank when not observed. No buyer-photo logic used.,GRITSTONES,Men Pink Embedded Textured Flat Knit Premium Polo T-Shirt,https://www.nykaafashion.com/men/topwear/polo-t-shirts/c/6827,nykaa_category_listing,9/4/2026,pdp_url_not_resolved,
SKU40,https://www.nykaafashion.com/gloot-men-s-cotton-polo-t-shirt-no-curl-collar-forest-green/p/5977753,polo shirt,390,,,,Y,Cotton,,,,,,,,,,,listing_only,,Brand: GLOOT; product: Anti Stain & Anti Odor Cotton Polo with No - Curl Collar - GLA001 Forest Green; listed price: ?390.,"PDP-level review count, rating, detailed specifications and seller details were not expanded in this listing-level scrape.",Listing-level sample scraped from current Nykaa Fashion category page; direct PDP fields intentionally left blank when not observed. No buyer-photo logic used.,GLOOT,Anti Stain & Anti Odor Cotton Polo with No - Curl Collar - GLA001 Forest Green,https://www.nykaafashion.com/men/topwear/polo-t-shirts/c/6827,nykaa_category_listing,9/4/2026,pdp_url_resolved_from_web,nykaafashion.com
SKU41,https://www.nykaafashion.com/crocodile-black-solid-plain-regular-fit-polo-t-shirt/p/19540383,polo shirt,699,,,,,,,,,,Regular,,,,,,listing_only,,Brand: Crocodile; product: Black Solid/Plain Regular Fit Polo T-Shirt; listed price: ?699.,"PDP-level review count, rating, detailed specifications and seller details were not expanded in this listing-level scrape.",Listing-level sample scraped from current Nykaa Fashion category page; direct PDP fields intentionally left blank when not observed. No buyer-photo logic used.,Crocodile,Black Solid/Plain Regular Fit Polo T-Shirt,https://www.nykaafashion.com/men/topwear/polo-t-shirts/c/6827,nykaa_category_listing,9/4/2026,pdp_url_resolved_from_web,nykaafashion.com
